Category,Business Type,Supplier,Country,Main Products,Established Year,Total Employees,Total Estimated Revenue,Export Percentage
Agriculture,Distributor/Wholesaler,Beijing Huifu Agricultural Production and Marketing Professional Cooperative,China,农业产品,,20+,More than $ 5 million,30%
Agriculture,Distributor/Wholesaler,Java Exportindo PMA,Indonesia,VENDEDOR MAIZ ACEITE DE PALMA POLLO CONGELADO CAFE CACAO PELLETS,2019,50 - 200,$2.000.000 - $3.000.000,90
Agriculture,Manufacturer Trading Company Distributor/Wholesaler Buying Office,ssgroups,India,all,2018,15,10000000,25
Agriculture,Manufacturer,Suzhou Zhonghang Precision Machinery Co. Ltd.,China,机械,2004,50,30million dollars,20%
Agriculture,Manufacturer Distributor/Wholesaler Buying Office,THE T JAY LTD,Cameroon,Food stuffs,2001,170,1500.000,69%
Agriculture,Manufacturer Distributor/Wholesaler,Kimya Azhand botia,Iran,POTASSIUM SULPHATE,,22,,
Agriculture,Manufacturer Trading Company Distributor/Wholesaler Buying Office,International Agro Persada,Indonesia,Fertilizer Coconut Semi Husked,,,1000000000000,100
Agriculture,Trading Company Distributor/Wholesaler,Lavazza Resources Limited,Nigeria,Bitter Kola Tiger Nut African Bush Mango Seed,2023,10,,
Agriculture,,Anatolia Fresh,Republic of Türkiye,Fresh Apple pear fig grape quince pomegranate nectarine peach,,,,
Agriculture,Manufacturer Trading Company Distributor/Wholesaler Buying Office,Goodfolks,Sri Lanka,Bee Honey Sri Lanka Spices Vegan Food Coconut Products Ceylon Tea Dehydrated fruits Dehydrated vegetables,2020,10,,
Agriculture,Distributor/Wholesaler,SHEA WORLD,Ghana,SHEA NUTS & SHEA BUTTER,2018,10,$1 million,99%
Agriculture,Manufacturer Trading Company Distributor/Wholesaler,Afrique Trans Agro Company,Cameroon,food crops Red oil cooking oil Edible oil,1996,20000,,
Agriculture,,Evettraw foods,Nigeria,Agricultural products,2017,12,,
Agriculture,,IVES ENTERPRISE,Nigeria,Cashew Nuts,,,100000000,
Agriculture,,PT. INDOGLOBAL MAKMUR SEJAHTERA,Indonesia,Dried Seaweed,,,600tons/month,100%
Agriculture,Manufacturer Distributor/Wholesaler Buying Office,Musleh Trading House Pvt Ltd,Pakistan,Corn LPG Rice Bean Potato Tomato Garlic,2020,20,,
Agriculture,Trading Company Distributor/Wholesaler Buying Office,GBM ROYAL VENTURES,Ghana,Ginger Grain of paradise grain of selim cloves Pepper Shea butter Nutmeg maize grain Palm Oil Cashew tiger but Melon Seeds sesame seeds Cocoa beans and so much more!,2020,10,100000,10
Agriculture,Trading Company Distributor/Wholesaler,TMK,Republic of Türkiye,taze meyve/sebze kuruyemiş çeşitleri tekstil ürünleri,,,,
Agriculture,Distributor/Wholesaler,Amiro Invest d.o.o.,Slovenia,Urea,2018,5,,
Agriculture,,Eagles,Egypt,Urea,,,,
Agriculture,,Impero Estate Trading,Austria,Sunflower Oil,,,,
Agriculture,,Jozani Group Limited,Cameroon,Sunflower Oil cashew nuts. Urea fertilizer vegetable oil,,,,
Agriculture,Trading Company Distributor/Wholesaler,AD Agro-products Agency,Nigeria,Agricultural Produce,2021,10,,
Agriculture,Distributor/Wholesaler,PT Nuansa Dwi Karya,Indonesia,VCO  Coconut charcoal briquettes batik jilbab/hijab,2023,2,,
Agriculture,,CEYLON KOKOSY PVT LTD,Sri Lanka,Grow Bags,,,,
Agriculture,Trading Company Distributor/Wholesaler,Clovera Primaniaga Sejahtera,Indonesia,Cinnamon Spices Coco Coir,2023,,,
Agriculture,Buying Office,kan_bvi,Bulgaria,Lumber Timber wood wood chips Beans Rice Lentils Sugar Salt flower semolina Oats,2023,1,,
Agriculture,Distributor/Wholesaler,Halplazm,Poland,Urea silage film BOPP masks gowns  desinfectant fluid,2006-11-02,1,,
Agriculture,Manufacturer Trading Company Distributor/Wholesaler Buying Office,world import export trade,Russia,- wholesale company dried fruits and dried vegetables legumes and spices. Fresh Fruits frozen freeze dried fruits Puree Fruit and Puree Vegetables / NEW GENERATION TECHNOLOGY,2015,50,,
Agriculture,Trading Company,Company - Eminence Impex,India,millets spices Towel,2023,4,,
Agriculture,Manufacturer Trading Company,Sunrise Ins Vietnam,Vietnam,Agro Commodities,2017,100,850 mil USD,80%
Agriculture,Trading Company Distributor/Wholesaler,ST.FOODS,Pakistan,Rice,,,,
Agriculture,Trading Company Distributor/Wholesaler,Sunrise Ins Group,Vietnam,Agricultural products,2017,50,500000 USD,
Agriculture,,Ultima Trading,Ukraine,,,,,
Agriculture,,VEDAN (VIETNAM) ENTERPRISE CORP. LTD,Vietnam,Fertilizer,1991,5000,,
Agriculture,Manufacturer Trading Company Distributor/Wholesaler Buying Office,BB Group Company Limited,Lithuania,A4 Copy Paper Sunflower Oil Cashew Nuts Almond nuts Rice Copper wire scraps Copper Cathode Silver Me,1999,1000,1000000,85%
Agriculture,,Hotline Farms G1 garlic,Pakistan,G1 garlic,,,,
Agriculture,,HD Herb,Indonesia,Herbal,,,,
Agriculture,,GREATWOOD HOLDING LIMITEDS,United Kingdom,TILAPIA,,,,
Agriculture,,MV Retail Stone,Belgium,Frozen french fries,,,,
Agriculture,Manufacturer,Agri-Inject,USA,Chemigation systems,1983,,,
Agriculture,,Globus LTD,United Arab Emirates,Cocoa Beans,2020,35,,
Agriculture,,Greenpointcompany,Egypt,fresh fruits and vegetables,,,,
Agriculture,Manufacturer,CTAA,Madagascar,vanilla extraction vanilla tk lose bean caviar vanilla chunks vanilla cuts,2003,50+,Under $25 million,99%
